,id,created_time,text,source,favorite_count,retweet_count,username
70,788055101445287936,2016-10-17 16:32:32,"RT @WhiteHouse: ""Nobody should be priced out of a higher education."" —@POTUS on the progress we've made: https://t.co/4YohVv7Qea https://t.…",Twitter Web Client,0,638,BarackObama
71,788040236982939648,2016-10-17 15:33:28,RT @WHLive: Watch as @POTUS speaks on the progress made to ensure every student has the opportunity to realize their potential: https://t.c…,Twitter Web Client,0,328,BarackObama
72,788039460411682817,2016-10-17 15:30:23,Senate leaders have recognized Judge Garland's impeccable credentials in the past. He deserves a fair hearing and a… https://t.co/w9bPtpSmm7,Twitter Web Client,10931,3407,BarackObama
73,787039774330748928,2016-10-14 21:17:59,We need a fully functional Supreme Court. Editorial boards across the country agree: https://t.co/BkLrNaTtzN #DoYourJob,Twitter Web Client,3493,1000,BarackObama
74,787010142378332160,2016-10-14 19:20:14,The American Bar Association gave Judge Garland its highest rating. Senate leaders: #DoYourJob and fill the #SCOTUS… https://t.co/iTVTqGIUvV,Twitter Web Client,13845,5485,BarackObama
75,786982739517943808,2016-10-14 17:31:21,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/7MDQGYgX2u #ActOnClimate,Twitter Web Client,2483,662,BarackObama
76,786964419905523712,2016-10-14 16:18:33,"Cynics, take note: When we #ActOnClimate, we build a stronger future. https://t.co/wHHMdo2ro6",Twitter Web Client,3879,1036,BarackObama
77,786680553617629185,2016-10-13 21:30:34,"""That’s how we will overcome the challenges we face: by unleashing the power of all of us for all of us."" Read more: https://t.co/VxpwLIR4uF",Twitter Web Client,6484,1909,BarackObama
78,786665200711786496,2016-10-13 20:29:34,Check out the most recent editorial boards calling on Senate leaders to vote on Judge Garland: https://t.co/hzuhZYevfo #DoYourJob,Twitter Web Client,2348,689,BarackObama
79,786634894629740544,2016-10-13 18:29:08,"Senate leaders have undercut the functionality of the Supreme Court, and that's unacceptable. #DoYourJob https://t.co/5HFXhgTMoP",Twitter Web Client,8549,2496,BarackObama
80,786610870180646913,2016-10-13 16:53:40,Senate leaders' political games are handicapping the Supreme Court—and judgeships across the country. https://t.co/PhKOBKXLmS #DoYourJob,Twitter Web Client,2940,998,BarackObama
81,786588412656562176,2016-10-13 15:24:26,"RT @WIRED: After eight years in office, @POTUS remains optimistic about the world's future. His essay as WIRED’s guest editor: https://t.co…",Twitter Web Client,0,2583,BarackObama
82,786311063025451012,2016-10-12 21:02:21,LIVE: President Obama is speaking at a reception celebrating #HispanicHeritageMonth. https://t.co/FK0ytbKw1q,Twitter Web Client,1973,476,BarackObama
83,786309121393856512,2016-10-12 20:54:38,"RT @WhiteHouse: In honor of #HispanicHeritageMonth, we celebrate the progress that Hispanic Americans have made under @POTUS: https://t.co/…",Twitter Web Client,0,469,BarackObama
84,786291325486309381,2016-10-12 19:43:55,Support the bold steps we're taking against climate change. Say you're ready to #ActOnClimate: https://t.co/EtwjaKgYFW,Twitter Web Client,2027,506,BarackObama
85,786264508436058112,2016-10-12 17:57:21,"Last week, more than 190 countries reached a landmark deal to reduce carbon pollution from aviation. https://t.co/LRYkXVw3rO #ActOnClimate",Twitter Web Client,3332,865,BarackObama
86,786243954601660417,2016-10-12 16:35:41,Let's leave our children and grandchildren a planet that's healthier than the one we have today. #ActOnClimate https://t.co/mP29bpRdU9,Twitter Web Client,12112,3702,BarackObama
87,786226181318123523,2016-10-12 15:25:03,Climate change's effects are devastating. Denying the science behind it does nothing to help. https://t.co/Rww40wwgD9 #ActOnClimate,Twitter Web Client,3252,1240,BarackObama
88,785993169460527104,2016-10-11 23:59:09,"""On behalf of Michelle and our family, G’mar Chatimah Tovah."" —President Obama #YomKippur",Twitter Web Client,7433,1669,BarackObama
89,785952655113723904,2016-10-11 21:18:09,"""LGBT individuals deserve to know their country stands beside them."" —President Obama #NationalComingOutDay https://t.co/op7nBzbaod",Twitter Web Client,44712,21068,BarackObama
90,785933569365450752,2016-10-11 20:02:19,The Supreme Court must remain above politics. Judge Garland needs a hearing and a vote. #DoYourJob https://t.co/eVSPSIFNpB,Twitter Web Client,9909,3058,BarackObama
91,785912543210377216,2016-10-11 18:38:46,Don't stand idly by while Senate leaders continue to block Judge Garland from a fair hearing and vote: https://t.co/TSavHP3mHg #DoYourJob,Twitter Web Client,3005,885,BarackObama
92,785894365298208769,2016-10-11 17:26:32,"Judge Garland is just as qualified now as he was in 1997, Senate leaders. It's time to #DoYourJob. https://t.co/j1lEkdMYV6",Twitter Web Client,7117,2315,BarackObama
93,785865432486014980,2016-10-11 15:31:34,Dispel misinformation with facts from the @OFA Truth Team. https://t.co/zjexLUJXAC,Twitter Web Client,1641,414,BarackObama
94,784514411604041729,2016-10-07 22:03:05,"The uninsured rate is the lowest it's been in decades, thanks to #Obamacare. Spread the word.… https://t.co/ZkN8HVbn3E",Twitter Web Client,6361,1788,BarackObama
95,784493195061239808,2016-10-07 20:38:47,Deadline tonight—help rein in payday lenders that succeed by targeting vulnerable Americans: https://t.co/7OlpH6OFek #StopTheDebtTrap,Twitter Web Client,2162,624,BarackObama
96,784482008730734592,2016-10-07 19:54:20,The Obama administration and @CFPB are working to protect consumers and #StopTheDebtTrap. https://t.co/UMO01OUkdh,Twitter Web Client,2343,557,BarackObama
97,784453805706534916,2016-10-07 18:02:16,"Our economy is on a better, stronger course. https://t.co/yzB6x7CExJ",Twitter Web Client,2377,577,BarackObama
98,784427310703345664,2016-10-07 16:16:59,The economic progress we've made is undeniable—let's keep it up. https://t.co/gAlfaC1hkI,Twitter Web Client,3635,1074,BarackObama
99,784411527193456640,2016-10-07 15:14:16,Check out President Obama's essay in @TheEconomist on the unique challenges the American economy faces. https://t.co/jKJNCrQALL,Twitter Web Client,3086,1154,BarackObama
100,784392680008712192,2016-10-07 13:59:22,"The economy added 156,000 jobs in September—extending the longest streak of total job growth on record.",Twitter Web Client,7855,2158,BarackObama
101,784099769425596418,2016-10-06 18:35:27,ICYMI: Read about the historic #ParisAgreement and what it means for the fight to #ActOnClimate. https://t.co/eMefgFZk53,Twitter Web Client,2442,696,BarackObama
102,784081476434272256,2016-10-06 17:22:46,"RT @WhiteHouse: This is #SXSL: The White House festival of ideas, art, and action. Take a peek inside: https://t.co/BbvvMEaQTF https://t.co…",Twitter Web Client,0,680,BarackObama
103,784057869549252608,2016-10-06 15:48:57,The cost of clean energy technology dropped significantly over the last eight years. Get the chart: https://t.co/fuGQMXeRYb #ActOnClimate,Twitter Web Client,3089,869,BarackObama
104,783781468719943680,2016-10-05 21:30:38,This historic step in the fight to #ActOnClimate came faster than anyone predicted. https://t.co/W2rtcNXkI7,Twitter Web Client,5346,1302,BarackObama
105,783769909146845184,2016-10-05 20:44:42,"""Today is a historic day in the fight to protect our planet for future generations."" —President Obama #ActOnClimate https://t.co/x3dJSCYUcj",Twitter Web Client,5963,1737,BarackObama
106,783751285212258304,2016-10-05 19:30:42,LIVE: President Obama is delivering a statement on the Paris Climate Agreement. https://t.co/mNpQ6QyA91,Twitter Web Client,1717,450,BarackObama
107,783695919006920704,2016-10-05 15:50:42,Read from @NYTopinion about why filling the Supreme Court vacancy is crucial for our democracy: https://t.co/zuSWzxSaqW #DoYourJob,Twitter Web Client,2258,728,BarackObama
108,783404014054412288,2016-10-04 20:30:46,Enough is enough. Say it's time for Senate leaders to get to work: https://t.co/2M789YIcBk #DoYourJob,Twitter Web Client,2534,649,BarackObama
109,783373180861767681,2016-10-04 18:28:15,"""Everybody cares about their kids, their grandkids, and the kind of world we pass on to them."" —President Obama https://t.co/cfxpSBNWIU",Twitter Web Client,6919,2015,BarackObama
110,783349420951674880,2016-10-04 16:53:50,Take what matters with you. https://t.co/E0hXWSu1q3 https://t.co/KJJdkE8DML,Twitter Web Client,3205,694,BarackObama
111,783322842955862020,2016-10-04 15:08:13,"We've come a long way, but the fight for fairness and an economy that works for everyone continues. https://t.co/WWRhZHwYWE",Twitter Web Client,6302,1591,BarackObama
112,783033210745655296,2016-10-03 19:57:20,RT @NatGeoChannel: Tonight @POTUS will be joined by @LeoDiCaprio for a conversation on combating climate change: https://t.co/yCN9K74Jnj #S…,Twitter Web Client,0,1312,BarackObama
113,783009809356304385,2016-10-03 18:24:20,Side-by-side for 24 years. Here's to many more. #HappyAnniversary https://t.co/nh8Xfc7IWU,Twitter Web Client,316211,125661,BarackObama
114,782987406949486592,2016-10-03 16:55:19,"RT @WhiteHouse: Today, @POTUS is bringing something new to the South Lawn. Find out why: https://t.co/JvtZFKpQKZ",Twitter Web Client,0,312,BarackObama
115,782966115248910337,2016-10-03 15:30:43,Facts matter. Stay informed with the @OFA Truth Team: https://t.co/O8PhOX5jJ3,Twitter Web Client,1808,424,BarackObama
116,782250219027128320,2016-10-01 16:06:00,"RT @OFA: ""Since I took office, another ten million private-sector workers have gained paid sick leave."" —President Obama https://t.co/Ud3vq…",Twitter Web Client,0,431,BarackObama
117,782230260767084545,2016-10-01 14:46:41,"In the weekly address, President Obama discusses why access to paid leave is so important. https://t.co/q9kDEqYs5u #LeadOnLeave",Twitter Web Client,3558,794,BarackObama
118,781970043894632448,2016-09-30 21:32:41,Parents shouldn't have to choose between a paycheck and taking care of a sick child at home. #LeadOnLeave https://t.co/FF4hTkgOZy,Twitter Web Client,8539,2213,BarackObama
119,781949494631858176,2016-09-30 20:11:02,"After thirty years in Congress, Senator, this should not be your proudest accomplishment. https://t.co/FwGAJsBCoo… https://t.co/86F1fhUWsp",Twitter Web Client,5180,2042,BarackObama
120,781913425496662016,2016-09-30 17:47:42,We need a fully functioning Supreme Court. Speak up if you agree it's time for a hearing and a vote: https://t.co/d6nmum1Ut7 #DoYourJob,Twitter Web Client,3341,939,BarackObama
121,781885668016332800,2016-09-30 15:57:24,"There has never been a more qualified nominee, Senate leaders. He deserves a fair hearing and a vote. #DoYourJob https://t.co/qtzcY3iwyl",Twitter Web Client,9843,3161,BarackObama
